timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1766834145563,370,用户登录,401,,setUp - 批量登录获取Token 1-1,text,false,,517,259,10,10,http://localhost:8080/api/auth/login,369,0,25
1766834145848,86,用户登录,401,,setUp - 批量登录获取Token 1-9,text,false,,517,259,10,10,http://localhost:8080/api/auth/login,85,0,2
1766834145645,289,用户登录,401,,setUp - 批量登录获取Token 1-5,text,false,,517,259,10,10,http://localhost:8080/api/auth/login,288,0,1
1766834145565,369,用户登录,401,,setUp - 批量登录获取Token 1-3,text,false,,517,259,10,10,http://localhost:8080/api/auth/login,368,0,24
1766834145947,9,用户登录,401,,setUp - 批量登录获取Token 1-11,text,false,,517,260,11,11,http://localhost:8080/api/auth/login,8,0,1
1766834145794,140,用户登录,401,,setUp - 批量登录获取Token 1-8,text,false,,517,259,10,10,http://localhost:8080/api/auth/login,139,0,1
1766834145693,241,用户登录,401,,setUp - 批量登录获取Token 1-6,text,false,,517,259,10,10,http://localhost:8080/api/auth/login,240,0,1
1766834145900,34,用户登录,401,,setUp - 批量登录获取Token 1-10,text,false,,517,260,10,10,http://localhost:8080/api/auth/login,33,0,1
1766834145747,187,用户登录,401,,setUp - 批量登录获取Token 1-7,text,false,,517,259,10,10,http://localhost:8080/api/auth/login,186,0,1
1766834145592,342,用户登录,401,,setUp - 批量登录获取Token 1-4,text,false,,517,259,10,10,http://localhost:8080/api/auth/login,341,0,1
1766834145563,370,用户登录,401,,setUp - 批量登录获取Token 1-2,text,false,,517,259,10,10,http://localhost:8080/api/auth/login,369,0,25
1766834145996,5,用户登录,401,,setUp - 批量登录获取Token 1-12,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834146051,13,用户登录,401,,setUp - 批量登录获取Token 1-13,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,13,0,1
1766834146095,8,用户登录,401,,setUp - 批量登录获取Token 1-14,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,8,0,1
1766834146148,6,用户登录,401,,setUp - 批量登录获取Token 1-15,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834146199,6,用户登录,401,,setUp - 批量登录获取Token 1-16,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834146246,8,用户登录,401,,setUp - 批量登录获取Token 1-17,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,8,0,1
1766834146295,6,用户登录,401,,setUp - 批量登录获取Token 1-18,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834146342,8,用户登录,401,,setUp - 批量登录获取Token 1-19,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,8,0,1
1766834146394,6,用户登录,401,,setUp - 批量登录获取Token 1-20,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834146444,5,用户登录,401,,setUp - 批量登录获取Token 1-21,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834146492,5,用户登录,401,,setUp - 批量登录获取Token 1-22,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,0
1766834146543,7,用户登录,401,,setUp - 批量登录获取Token 1-23,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,0
1766834146594,8,用户登录,401,,setUp - 批量登录获取Token 1-24,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,8,0,1
1766834146647,6,用户登录,401,,setUp - 批量登录获取Token 1-25,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,0
1766834146696,7,用户登录,401,,setUp - 批量登录获取Token 1-26,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,0
1766834146746,8,用户登录,401,,setUp - 批量登录获取Token 1-27,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,0
1766834146794,6,用户登录,401,,setUp - 批量登录获取Token 1-28,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834146845,7,用户登录,401,,setUp - 批量登录获取Token 1-29,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834146892,58,用户登录,401,,setUp - 批量登录获取Token 1-30,text,false,,517,260,2,2,http://localhost:8080/api/auth/login,58,0,3
1766834146947,11,用户登录,401,,setUp - 批量登录获取Token 1-31,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,11,0,1
1766834146994,6,用户登录,401,,setUp - 批量登录获取Token 1-32,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,0
1766834147042,7,用户登录,401,,setUp - 批量登录获取Token 1-33,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834147092,6,用户登录,401,,setUp - 批量登录获取Token 1-34,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834147142,6,用户登录,401,,setUp - 批量登录获取Token 1-35,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,0
1766834147194,7,用户登录,401,,setUp - 批量登录获取Token 1-36,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,0
1766834147241,5,用户登录,401,,setUp - 批量登录获取Token 1-37,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,0
1766834147291,6,用户登录,401,,setUp - 批量登录获取Token 1-38,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834147342,5,用户登录,401,,setUp - 批量登录获取Token 1-39,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834147394,5,用户登录,401,,setUp - 批量登录获取Token 1-40,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834147442,6,用户登录,401,,setUp - 批量登录获取Token 1-41,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,0
1766834147492,57,用户登录,401,,setUp - 批量登录获取Token 1-42,text,false,,517,260,2,2,http://localhost:8080/api/auth/login,57,0,1
1766834147543,10,用户登录,401,,setUp - 批量登录获取Token 1-43,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,10,0,2
1766834147592,5,用户登录,401,,setUp - 批量登录获取Token 1-44,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834147642,5,用户登录,401,,setUp - 批量登录获取Token 1-45,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834147691,6,用户登录,401,,setUp - 批量登录获取Token 1-46,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834147743,7,用户登录,401,,setUp - 批量登录获取Token 1-47,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834147791,6,用户登录,401,,setUp - 批量登录获取Token 1-48,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834147841,7,用户登录,401,,setUp - 批量登录获取Token 1-49,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834147892,5,用户登录,401,,setUp - 批量登录获取Token 1-50,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834147947,7,用户登录,401,,setUp - 批量登录获取Token 1-51,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834147993,6,用户登录,401,,setUp - 批量登录获取Token 1-52,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834148042,9,用户登录,401,,setUp - 批量登录获取Token 1-53,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,9,0,0
1766834148092,7,用户登录,401,,setUp - 批量登录获取Token 1-54,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834148141,7,用户登录,401,,setUp - 批量登录获取Token 1-55,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834148191,9,用户登录,401,,setUp - 批量登录获取Token 1-56,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,9,0,1
1766834148241,8,用户登录,401,,setUp - 批量登录获取Token 1-57,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,0
1766834148290,12,用户登录,401,,setUp - 批量登录获取Token 1-58,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,12,0,2
1766834148342,9,用户登录,401,,setUp - 批量登录获取Token 1-59,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,9,0,1
1766834148392,8,用户登录,401,,setUp - 批量登录获取Token 1-60,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,8,0,1
1766834148442,8,用户登录,401,,setUp - 批量登录获取Token 1-61,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,8,0,1
1766834148491,5,用户登录,401,,setUp - 批量登录获取Token 1-62,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834148542,6,用户登录,401,,setUp - 批量登录获取Token 1-63,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834148591,6,用户登录,401,,setUp - 批量登录获取Token 1-64,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834148641,6,用户登录,401,,setUp - 批量登录获取Token 1-65,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834148694,6,用户登录,401,,setUp - 批量登录获取Token 1-66,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834148741,6,用户登录,401,,setUp - 批量登录获取Token 1-67,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834148791,6,用户登录,401,,setUp - 批量登录获取Token 1-68,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,0
1766834148841,7,用户登录,401,,setUp - 批量登录获取Token 1-69,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,7,0,1
1766834148893,6,用户登录,401,,setUp - 批量登录获取Token 1-70,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834148942,6,用户登录,401,,setUp - 批量登录获取Token 1-71,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834148992,5,用户登录,401,,setUp - 批量登录获取Token 1-72,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,5,0,0
1766834149042,9,用户登录,401,,setUp - 批量登录获取Token 1-73,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,9,0,1
1766834149094,6,用户登录,401,,setUp - 批量登录获取Token 1-74,text,false,,517,260,1,1,http://localhost:8080/api/auth/login,6,0,1
