timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1766834312778,38,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-4,,false,,2579,1182,12,12,null,0,802,1
1766834312778,11,1-卖家登录,401,,50并发-确认收货+评价流程 1-4,text,false,,517,231,4,4,http://localhost:8080/api/auth/login,11,0,1
1766834312790,4,2-卖家发货,401,,50并发-确认收货+评价流程 1-4,text,false,发货操作失败,515,218,4,4,http://localhost:8080/api/orders/4/ship,4,0,0
1766834313526,7,3-买家登录,401,,50并发-确认收货+评价流程 1-4,text,false,,517,230,11,11,http://localhost:8080/api/auth/login,7,0,0
1766834313534,4,4-买家确认收货,401,,50并发-确认收货+评价流程 1-4,text,false,确认收货操作失败,515,221,11,11,http://localhost:8080/api/orders/4/receive,4,0,0
1766834313569,12,5-买家评价,401,,50并发-确认收货+评价流程 1-4,text,false,评价操作失败,515,282,12,12,http://localhost:8080/api/reviews,12,0,0
1766834312977,47,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-6,,false,,2579,1182,12,12,null,0,595,0
1766834312978,5,1-卖家登录,401,,50并发-确认收货+评价流程 1-6,text,false,,517,231,6,6,http://localhost:8080/api/auth/login,5,0,0
1766834312984,3,2-卖家发货,401,,50并发-确认收货+评价流程 1-6,text,false,发货操作失败,515,218,6,6,http://localhost:8080/api/orders/6/ship,3,0,0
1766834313547,11,3-买家登录,401,,50并发-确认收货+评价流程 1-6,text,false,,517,230,11,11,http://localhost:8080/api/auth/login,11,0,0
1766834313559,10,4-买家确认收货,401,,50并发-确认收货+评价流程 1-6,text,false,确认收货操作失败,515,221,12,12,http://localhost:8080/api/orders/6/receive,10,0,0
1766834313570,18,5-买家评价,401,,50并发-确认收货+评价流程 1-6,text,false,评价操作失败,515,282,12,12,http://localhost:8080/api/reviews,18,0,0
1766834313175,54,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-8,,false,,2579,1182,12,12,null,0,389,1
1766834312878,56,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-5,,false,,2579,1182,12,12,null,0,684,5
1766834313176,8,1-卖家登录,401,,50并发-确认收货+评价流程 1-8,text,false,,517,231,8,8,http://localhost:8080/api/auth/login,7,0,1
1766834313184,5,2-卖家发货,401,,50并发-确认收货+评价流程 1-8,text,false,发货操作失败,515,218,8,8,http://localhost:8080/api/orders/8/ship,5,0,0
1766834312878,10,1-卖家登录,401,,50并发-确认收货+评价流程 1-5,text,false,,517,231,5,5,http://localhost:8080/api/auth/login,10,0,5
1766834313547,13,3-买家登录,401,,50并发-确认收货+评价流程 1-8,text,false,,517,230,11,11,http://localhost:8080/api/auth/login,13,0,0
1766834312888,4,2-卖家发货,401,,50并发-确认收货+评价流程 1-5,text,false,发货操作失败,515,218,5,5,http://localhost:8080/api/orders/5/ship,4,0,0
1766834313561,8,4-买家确认收货,401,,50并发-确认收货+评价流程 1-8,text,false,确认收货操作失败,515,221,12,12,http://localhost:8080/api/orders/8/receive,8,0,0
1766834313571,20,5-买家评价,401,,50并发-确认收货+评价流程 1-8,text,false,评价操作失败,515,282,12,12,http://localhost:8080/api/reviews,20,0,0
1766834313548,15,3-买家登录,401,,50并发-确认收货+评价流程 1-5,text,false,,517,230,11,11,http://localhost:8080/api/auth/login,14,0,0
1766834313076,62,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-7,,false,,2579,1182,12,12,null,0,480,1
1766834313370,57,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-10,,false,,2579,1187,12,12,null,0,193,1
1766834313077,15,1-卖家登录,401,,50并发-确认收货+评价流程 1-7,text,false,,517,231,7,7,http://localhost:8080/api/auth/login,14,0,1
1766834313370,9,1-卖家登录,401,,50并发-确认收货+评价流程 1-10,text,false,,517,232,10,10,http://localhost:8080/api/auth/login,9,0,1
1766834313469,59,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-11,,false,,2579,1187,12,12,null,0,90,1
1766834313563,6,4-买家确认收货,401,,50并发-确认收货+评价流程 1-5,text,false,确认收货操作失败,515,221,12,12,http://localhost:8080/api/orders/5/receive,6,0,0
1766834312678,62,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-3,,false,,2579,1182,12,12,null,0,877,2
1766834313380,5,2-卖家发货,401,,50并发-确认收货+评价流程 1-10,text,false,发货操作失败,515,219,10,10,http://localhost:8080/api/orders/10/ship,5,0,0
1766834313570,21,5-买家评价,401,,50并发-确认收货+评价流程 1-5,text,false,评价操作失败,515,282,12,12,http://localhost:8080/api/reviews,21,0,0
1766834312679,9,1-卖家登录,401,,50并发-确认收货+评价流程 1-3,text,false,,517,231,3,3,http://localhost:8080/api/auth/login,9,0,2
1766834313470,12,1-卖家登录,401,,50并发-确认收货+评价流程 1-11,text,false,,517,232,11,11,http://localhost:8080/api/auth/login,12,0,1
1766834313093,5,2-卖家发货,401,,50并发-确认收货+评价流程 1-7,text,false,发货操作失败,515,218,7,7,http://localhost:8080/api/orders/7/ship,5,0,0
1766834313548,10,3-买家登录,401,,50并发-确认收货+评价流程 1-7,text,false,,517,230,11,11,http://localhost:8080/api/auth/login,10,0,0
1766834313482,5,2-卖家发货,401,,50并发-确认收货+评价流程 1-11,text,false,发货操作失败,515,219,11,11,http://localhost:8080/api/orders/11/ship,4,0,0
1766834313558,11,4-买家确认收货,401,,50并发-确认收货+评价流程 1-7,text,false,确认收货操作失败,515,221,12,12,http://localhost:8080/api/orders/7/receive,10,0,0
1766834313570,21,5-买家评价,401,,50并发-确认收货+评价流程 1-7,text,false,评价操作失败,515,282,12,12,http://localhost:8080/api/reviews,21,0,0
1766834312697,11,2-卖家发货,401,,50并发-确认收货+评价流程 1-3,text,false,发货操作失败,515,218,3,3,http://localhost:8080/api/orders/3/ship,11,0,0
1766834313547,15,3-买家登录,401,,50并发-确认收货+评价流程 1-11,text,false,,517,231,11,11,http://localhost:8080/api/auth/login,15,0,0
1766834313548,13,3-买家登录,401,,50并发-确认收货+评价流程 1-3,text,false,,517,230,11,11,http://localhost:8080/api/auth/login,13,0,0
1766834313563,7,4-买家确认收货,401,,50并发-确认收货+评价流程 1-11,text,false,确认收货操作失败,515,222,12,12,http://localhost:8080/api/orders/11/receive,7,0,0
1766834312583,106,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-2,,false,,2579,1182,12,12,null,0,928,24
1766834313548,10,3-买家登录,401,,50并发-确认收货+评价流程 1-10,text,false,,517,231,11,11,http://localhost:8080/api/auth/login,10,0,0
1766834312542,109,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-1,,false,,2579,1182,12,12,null,0,968,24
1766834313558,11,4-买家确认收货,401,,50并发-确认收货+评价流程 1-10,text,false,确认收货操作失败,515,222,12,12,http://localhost:8080/api/orders/10/receive,11,0,0
1766834313272,121,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-9,,false,,2579,1182,12,12,null,0,225,2
1766834312610,59,1-卖家登录,401,,50并发-确认收货+评价流程 1-2,text,false,,517,231,2,2,http://localhost:8080/api/auth/login,59,0,24
1766834313572,20,5-买家评价,401,,50并发-确认收货+评价流程 1-11,text,false,评价操作失败,515,283,12,12,http://localhost:8080/api/reviews,20,0,0
1766834312697,11,2-卖家发货,401,,50并发-确认收货+评价流程 1-2,text,false,发货操作失败,515,218,3,3,http://localhost:8080/api/orders/2/ship,11,0,0
1766834313562,7,4-买家确认收货,401,,50并发-确认收货+评价流程 1-3,text,false,确认收货操作失败,515,221,12,12,http://localhost:8080/api/orders/3/receive,7,0,0
1766834313548,10,3-买家登录,401,,50并发-确认收货+评价流程 1-2,text,false,,517,230,11,11,http://localhost:8080/api/auth/login,10,0,0
1766834313570,22,5-买家评价,401,,50并发-确认收货+评价流程 1-3,text,false,评价操作失败,515,282,12,12,http://localhost:8080/api/reviews,22,0,0
1766834313559,10,4-买家确认收货,401,,50并发-确认收货+评价流程 1-2,text,false,确认收货操作失败,515,221,12,12,http://localhost:8080/api/orders/2/receive,9,0,0
1766834313273,75,1-卖家登录,401,,50并发-确认收货+评价流程 1-9,text,false,,517,231,9,9,http://localhost:8080/api/auth/login,75,0,2
1766834312610,59,1-卖家登录,401,,50并发-确认收货+评价流程 1-1,text,false,,517,231,2,2,http://localhost:8080/api/auth/login,59,0,24
1766834313572,16,5-买家评价,401,,50并发-确认收货+评价流程 1-2,text,false,评价操作失败,515,282,12,12,http://localhost:8080/api/reviews,16,0,0
1766834312697,11,2-卖家发货,401,,50并发-确认收货+评价流程 1-1,text,false,发货操作失败,515,218,3,3,http://localhost:8080/api/orders/1/ship,11,0,0
1766834313570,22,5-买家评价,401,,50并发-确认收货+评价流程 1-10,text,false,评价操作失败,515,283,12,12,http://localhost:8080/api/reviews,21,0,0
1766834313349,5,2-卖家发货,401,,50并发-确认收货+评价流程 1-9,text,false,发货操作失败,515,218,9,9,http://localhost:8080/api/orders/9/ship,5,0,0
1766834313548,21,3-买家登录,401,,50并发-确认收货+评价流程 1-1,text,false,,517,230,12,12,http://localhost:8080/api/auth/login,21,0,0
1766834313548,10,3-买家登录,401,,50并发-确认收货+评价流程 1-9,text,false,,517,230,11,11,http://localhost:8080/api/auth/login,10,0,0
1766834313570,11,4-买家确认收货,401,,50并发-确认收货+评价流程 1-1,text,false,确认收货操作失败,515,221,12,12,http://localhost:8080/api/orders/1/receive,11,0,0
1766834313559,10,4-买家确认收货,401,,50并发-确认收货+评价流程 1-9,text,false,确认收货操作失败,515,221,12,12,http://localhost:8080/api/orders/9/receive,10,0,0
1766834313587,7,5-买家评价,401,,50并发-确认收货+评价流程 1-1,text,false,评价操作失败,515,282,12,12,http://localhost:8080/api/reviews,7,0,0
1766834313571,21,5-买家评价,401,,50并发-确认收货+评价流程 1-9,text,false,评价操作失败,515,282,12,12,http://localhost:8080/api/reviews,21,0,0
1766834313569,68,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-12,,false,,2579,1187,1,1,null,0,6,2
1766834313569,25,1-卖家登录,401,,50并发-确认收货+评价流程 1-12,text,false,,517,232,12,12,http://localhost:8080/api/auth/login,25,0,2
1766834313595,10,2-卖家发货,401,,50并发-确认收货+评价流程 1-12,text,false,发货操作失败,515,219,12,12,http://localhost:8080/api/orders/12/ship,10,0,0
1766834313606,16,3-买家登录,401,,50并发-确认收货+评价流程 1-12,text,false,,517,231,12,12,http://localhost:8080/api/auth/login,16,0,0
1766834313623,7,4-买家确认收货,401,,50并发-确认收货+评价流程 1-12,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/12/receive,7,0,0
1766834313632,10,5-买家评价,401,,50并发-确认收货+评价流程 1-12,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,10,0,0
1766834313666,33,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-13,,false,,2579,1187,1,1,null,0,7,1
1766834313666,11,1-卖家登录,401,,50并发-确认收货+评价流程 1-13,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,11,0,1
1766834313677,5,2-卖家发货,401,,50并发-确认收货+评价流程 1-13,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/13/ship,5,0,0
1766834313683,8,3-买家登录,401,,50并发-确认收货+评价流程 1-13,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,8,0,0
1766834313692,5,4-买家确认收货,401,,50并发-确认收货+评价流程 1-13,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/13/receive,5,0,0
1766834313700,4,5-买家评价,401,,50并发-确认收货+评价流程 1-13,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,4,0,0
1766834313769,26,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-14,,false,,2579,1187,1,1,null,0,3,1
1766834313769,8,1-卖家登录,401,,50并发-确认收货+评价流程 1-14,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,8,0,1
1766834313777,4,2-卖家发货,401,,50并发-确认收货+评价流程 1-14,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/14/ship,4,0,0
1766834313782,6,3-买家登录,401,,50并发-确认收货+评价流程 1-14,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,6,0,0
1766834313788,4,4-买家确认收货,401,,50并发-确认收货+评价流程 1-14,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/14/receive,4,0,0
1766834313793,4,5-买家评价,401,,50并发-确认收货+评价流程 1-14,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,4,0,0
1766834313866,32,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-15,,false,,2579,1187,1,1,null,0,4,1
1766834313866,8,1-卖家登录,401,,50并发-确认收货+评价流程 1-15,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,8,0,1
1766834313875,3,2-卖家发货,401,,50并发-确认收货+评价流程 1-15,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/15/ship,3,0,0
1766834313879,11,3-买家登录,401,,50并发-确认收货+评价流程 1-15,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,11,0,0
1766834313890,6,4-买家确认收货,401,,50并发-确认收货+评价流程 1-15,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/15/receive,6,0,0
1766834313897,4,5-买家评价,401,,50并发-确认收货+评价流程 1-15,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,4,0,0
1766834313962,19,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-16,,false,,2579,1187,1,1,null,0,5,1
1766834313962,6,1-卖家登录,401,,50并发-确认收货+评价流程 1-16,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,6,0,1
1766834313969,3,2-卖家发货,401,,50并发-确认收货+评价流程 1-16,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/16/ship,3,0,0
1766834313973,4,3-买家登录,401,,50并发-确认收货+评价流程 1-16,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834313978,3,4-买家确认收货,401,,50并发-确认收货+评价流程 1-16,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/16/receive,3,0,0
1766834313982,3,5-买家评价,401,,50并发-确认收货+评价流程 1-16,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,3,0,0
1766834314061,20,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-17,,false,,2579,1187,1,1,null,0,6,1
1766834314062,8,1-卖家登录,401,,50并发-确认收货+评价流程 1-17,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,8,0,1
1766834314071,2,2-卖家发货,401,,50并发-确认收货+评价流程 1-17,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/17/ship,2,0,0
1766834314075,4,3-买家登录,401,,50并发-确认收货+评价流程 1-17,text,false,,517,231,1,1,http://localhost:8080/api/auth/login,4,0,0
1766834314079,3,4-买家确认收货,401,,50并发-确认收货+评价流程 1-17,text,false,确认收货操作失败,515,222,1,1,http://localhost:8080/api/orders/17/receive,3,0,0
1766834314083,3,5-买家评价,401,,50并发-确认收货+评价流程 1-17,text,false,评价操作失败,515,283,1,1,http://localhost:8080/api/reviews,3,0,0
1766834314157,20,确认收货+评价完整流程,401,"Number of samples in transaction : 5, number of failing samples : 5",50并发-确认收货+评价流程 1-18,,false,,2579,1187,1,1,null,0,5,1
1766834314158,6,1-卖家登录,401,,50并发-确认收货+评价流程 1-18,text,false,,517,232,1,1,http://localhost:8080/api/auth/login,5,0,1
1766834314164,5,2-卖家发货,401,,50并发-确认收货+评价流程 1-18,text,false,发货操作失败,515,219,1,1,http://localhost:8080/api/orders/18/ship,5,0,0
